date,no2,o3,co,so2,pm10,pm25,코막힘,인후염,기관지염,알레르기비염,호흡기질환,감기약,비염약,기침약,콧물약,알레르기약
2023-03-17,0.02473,0.024859999999999997,0.4448,0.00317,43.06,14.88,19.15339,64.41743,46.68901,35.83403,6.49622,20.13913,20.66086,12.90434,9.32173,9.73913
2023-03-18,0.022024,0.031028000000000003,0.5484,0.0034860000000000004,60.76,28.66,18.48281,61.73512,38.51634,30.17602,4.10729,17.3913,18.85217,11.5826,9.6,11.51304
2023-03-19,0.026568,0.03698,0.4408265827021971,0.0034939999999999997,31.262628533251103,16.68375760685416,19.61441,53.64626,36.58843,32.10393,3.93964,19.51304,19.44347,12.48695,8.31304,12.0
2023-03-20,0.020298858046323635,0.024522,0.44612303180735563,0.0034620000000000002,31.262628533251103,16.68375760685416,23.47024,85.20536,62.19614,51.17351,8.00502,23.75652,29.07826,16.48695,10.53913,12.06956
2023-03-21,0.020583066875907666,0.027919999999999997,0.6832,0.00373,64.46,37.36,24.14082,76.02682,57.96311,52.30511,6.95725,20.93913,28.66086,14.7826,10.01739,13.21739
2023-03-22,0.020298858046323635,0.030068,0.7114,0.003788,30.244910099077355,37.3,25.27242,74.97904,54.81978,48.99413,7.87929,20.86956,29.70434,15.89565,9.77391,12.97391
2023-03-23,0.021626,0.034358,0.5192,0.003332,31.262628533251103,29.02,23.47024,68.52472,56.4124,45.18021,8.88516,19.47826,26.01739,15.23478,9.32173,11.47826
2023-03-24,0.023458,0.025830000000000002,0.4534,0.003352,31.262628533251103,26.1,20.74601,74.51802,53.31098,38.85163,8.21458,19.54782,21.77391,15.89565,7.89565,10.74782
2023-03-25,0.02050408163265306,0.030296,0.4461224489795918,0.00301,31.262628533251103,26.58,19.02766,62.40569,46.68901,35.07963,4.94551,18.36521,21.70434,15.44347,6.95652,11.16521
2023-03-26,0.01091,0.04137,0.35840000000000005,0.002994,59.62,15.46,19.90779,55.44844,41.86923,33.44509,4.86169,18.4,19.33913,14.01739,7.44347,11.54782
2023-03-27,0.021986,0.039646,0.41859999999999997,0.003292,47.9,20.16,23.93126,89.27074,66.59681,52.38893,8.2984,27.5826,30.50434,20.41739,11.30434,13.80869
2023-03-28,0.032088,0.031400000000000004,0.49081632653061225,0.003372,30.244910099077355,28.66,24.14082,83.44509,61.19027,48.78457,8.21458,25.32173,26.22608,17.80869,11.09565,10.85217
2023-03-29,0.036818,0.032406000000000004,0.5658,0.003646,31.262628533251103,16.327102082725187,22.29673,75.27242,60.47778,47.56915,7.33445,23.13043,30.46956,16.41739,10.08695,11.61739
2023-03-30,0.038658,0.039538,0.6074,0.0037459999999999998,31.262628533251103,16.327102082725187,23.80553,80.88851,56.37049,50.79631,8.00502,21.6,31.89565,17.32173,10.85217,13.00869
